feature,direction,current_val,global_mean,action,owner,impact_score,is_proxy,customer_idx,churn_proba
currentequipmentdays,decrease,1515.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.47,False,18,0.5616452461654632
monthlyminutes,increase,25.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.945,False,18,0.5616452461654632
monthlyrevenue,increase,30.26,58.8,Bundle additional services at no cost to boost value,Sales,0.642,False,18,0.5616452461654632
currentequipmentdays,decrease,1511.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.454,False,71,0.5213449997928674
overageminutes,decrease,204.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,1.701,False,71,0.5213449997928674
currentequipmentdays,decrease,1179.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.146,False,72,0.5520138684037422
overageminutes,decrease,74.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,0.353,False,72,0.5520138684037422
percchangeminutes,increase,-91.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,0.31,False,72,0.5520138684037422
currentequipmentdays,decrease,1548.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.6,False,85,0.5207588655527888
currentequipmentdays,decrease,721.0,380.54,Offer early handset upgrade at subsidised price,Sales,1.341,False,111,0.7419773417531099
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,111,0.7419773417531099
totalrecurringcharge,decrease,60.0,46.82,Apply loyalty discount or match competitor pricing,Sales,0.553,False,111,0.7419773417531099
overageminutes,decrease,504.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,4.811,False,113,0.5425948816942864
percchangeminutes,increase,-436.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,1.654,False,113,0.5425948816942864
totalrecurringcharge,decrease,75.0,46.82,Apply loyalty discount or match competitor pricing,Sales,1.183,False,113,0.5425948816942864
currentequipmentdays,decrease,1194.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.205,False,162,0.5299900631939642
totalrecurringcharge,decrease,75.0,46.82,Apply loyalty discount or match competitor pricing,Sales,1.183,False,162,0.5299900631939642
droppedcalls,decrease,11.3,6.01,Escalate to network ops for coverage improvement,Network Ops,0.585,False,162,0.5299900631939642
monthlyrevenue,increase,10.0,58.8,Bundle additional services at no cost to boost value,Sales,1.098,False,169,0.7331438447988129
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,169,0.7331438447988129
currentequipmentdays,decrease,1369.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.895,False,175,0.5360047156000591
monthlyminutes,increase,24.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.947,False,175,0.5360047156000591
monthlyrevenue,increase,30.26,58.8,Bundle additional services at no cost to boost value,Sales,0.642,False,175,0.5360047156000591
currentequipmentdays,decrease,1422.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.103,False,186,0.5060968336452383
monthlyminutes,increase,12.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.97,False,186,0.5060968336452383
monthlyrevenue,increase,40.4,58.8,Bundle additional services at no cost to boost value,Sales,0.414,False,186,0.5060968336452383
currentequipmentdays,decrease,1351.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.824,False,197,0.5817962343889179
totalrecurringcharge,decrease,70.0,46.82,Apply loyalty discount or match competitor pricing,Sales,0.973,False,197,0.5817962343889179
monthlyminutes,increase,33.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.93,False,197,0.5817962343889179
blockedcalls,decrease,36.0,4.09,Upgrade cell capacity in customer usage area,Network Ops,2.915,False,203,0.5114205378071554
currentequipmentdays,decrease,970.0,380.54,Offer early handset upgrade at subsidised price,Sales,2.323,False,203,0.5114205378071554
percchangeminutes,increase,-516.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,1.966,False,203,0.5114205378071554
currentequipmentdays,decrease,1334.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.757,False,222,0.6557243998787852
percchangeminutes,increase,-486.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,1.849,False,222,0.6557243998787852
totalrecurringcharge,decrease,77.0,46.82,Apply loyalty discount or match competitor pricing,Sales,1.267,False,222,0.6557243998787852
currentequipmentdays,decrease,789.0,380.54,Offer early handset upgrade at subsidised price,Sales,1.609,False,224,0.5504192840524315
totalrecurringcharge,decrease,70.0,46.82,Apply loyalty discount or match competitor pricing,Sales,0.973,False,224,0.5504192840524315
monthlyminutes,increase,24.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.947,False,224,0.5504192840524315
currentequipmentdays,decrease,1436.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.159,False,229,0.5350938678601168
monthlyminutes,increase,27.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.941,False,229,0.5350938678601168
monthlyrevenue,increase,29.99,58.8,Bundle additional services at no cost to boost value,Sales,0.648,False,229,0.5350938678601168
currentequipmentdays,decrease,1490.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.371,False,243,0.5020593896000639
percchangeminutes,increase,-280.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,1.046,False,243,0.5020593896000639
monthlyminutes,increase,280.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.463,False,243,0.5020593896000639
overageminutes,decrease,526.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,5.039,False,247,0.7119075451998574
droppedcalls,decrease,37.0,6.01,Escalate to network ops for coverage improvement,Network Ops,3.426,False,247,0.7119075451998574
directorassistedcalls,decrease,3.71,0.89,Enable self-service directory app + customer education,Digital,1.266,False,247,0.7119075451998574
currentequipmentdays,decrease,1380.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.938,False,251,0.6003247709085104
monthlyminutes,increase,214.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.588,False,251,0.6003247709085104
overageminutes,decrease,80.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,0.416,False,251,0.6003247709085104
monthlyminutes,increase,27.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.941,False,266,0.5492763209867073
monthlyrevenue,increase,20.25,58.8,Bundle additional services at no cost to boost value,Sales,0.867,False,266,0.5492763209867073
currentequipmentdays,decrease,1419.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.092,False,268,0.7300002091583051
