feature,direction,current_val,global_mean,action,owner,impact_score,is_proxy,customer_idx,churn_proba
monthlyrevenue,increase,24.0,58.8,Bundle additional services at no cost to boost value,Sales,0.783,False,0,0.7614188081274631
monthlyminutes,increase,219.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.579,False,0,0.7614188081274631
percchangeminutes,increase,-157.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,0.567,False,0,0.7614188081274631
currentequipmentdays,decrease,852.0,380.54,Offer early handset upgrade at subsidised price,Sales,1.858,False,4,0.7202571972424052
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,4,0.7202571972424052
monthlyrevenue,increase,17.14,58.8,Bundle additional services at no cost to boost value,Sales,0.937,False,4,0.7202571972424052
percchangeminutes,increase,-1007.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,3.88,False,15,0.7181304926735729
overageminutes,decrease,362.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,3.339,False,15,0.7181304926735729
totalrecurringcharge,decrease,100.0,46.82,Apply loyalty discount or match competitor pricing,Sales,2.233,False,15,0.7181304926735729
totalrecurringcharge,decrease,150.0,46.82,Apply loyalty discount or match competitor pricing,Sales,4.333,False,41,0.563306398581094
blockedcalls,decrease,22.0,4.09,Upgrade cell capacity in customer usage area,Network Ops,1.636,False,41,0.563306398581094
customercarecalls,decrease,9.7,1.87,Root-cause complaint history; assign dedicated account mgr,Retention,1.537,True,41,0.563306398581094
currentequipmentdays,decrease,1475.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.312,False,62,0.6754838646239761
overageminutes,decrease,161.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,1.255,False,62,0.6754838646239761
droppedcalls,decrease,11.7,6.01,Escalate to network ops for coverage improvement,Network Ops,0.629,False,62,0.6754838646239761
percchangeminutes,increase,-2239.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,8.681,False,74,0.7262933525214476
overageminutes,decrease,666.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,6.49,False,74,0.7262933525214476
percchangerevenues,increase,-76.5,-1.19,Offer loyalty reward tied to maintaining current spend,Marketing,1.91,False,74,0.7262933525214476
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,90,0.7569301899589105
monthlyrevenue,increase,27.25,58.8,Bundle additional services at no cost to boost value,Sales,0.71,False,90,0.7569301899589105
directorassistedcalls,decrease,11.38,0.89,Enable self-service directory app + customer education,Digital,4.712,False,107,0.5597291873460022
totalrecurringcharge,decrease,150.0,46.82,Apply loyalty discount or match competitor pricing,Sales,4.333,False,107,0.5597291873460022
blockedcalls,decrease,31.0,4.09,Upgrade cell capacity in customer usage area,Network Ops,2.459,False,107,0.5597291873460022
currentequipmentdays,decrease,1333.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.753,False,110,0.7099358906219998
monthlyrevenue,increase,13.25,58.8,Bundle additional services at no cost to boost value,Sales,1.025,False,110,0.7099358906219998
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,110,0.7099358906219998
overageminutes,decrease,1094.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,10.927,False,111,0.7490567427278899
blockedcalls,decrease,80.7,4.09,Upgrade cell capacity in customer usage area,Network Ops,6.999,False,111,0.7490567427278899
percchangeminutes,increase,-1037.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,3.997,False,111,0.7490567427278899
currentequipmentdays,decrease,1592.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.773,False,119,0.5060573074273618
totalrecurringcharge,decrease,107.0,46.82,Apply loyalty discount or match competitor pricing,Sales,2.527,False,119,0.5060573074273618
directorassistedcalls,decrease,4.21,0.89,Enable self-service directory app + customer education,Digital,1.49,False,119,0.5060573074273618
currentequipmentdays,decrease,902.0,380.54,Offer early handset upgrade at subsidised price,Sales,2.055,False,122,0.5176687123767295
percchangeminutes,increase,-1597.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,6.179,False,133,0.8018824502527221
droppedcalls,decrease,44.0,6.01,Escalate to network ops for coverage improvement,Network Ops,4.2,False,133,0.8018824502527221
overageminutes,decrease,443.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,4.179,False,133,0.8018824502527221
currentequipmentdays,decrease,1441.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.178,False,149,0.669844527022273
monthlyminutes,increase,46.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.906,False,149,0.669844527022273
monthlyrevenue,increase,29.99,58.8,Bundle additional services at no cost to boost value,Sales,0.648,False,149,0.669844527022273
currentequipmentdays,decrease,1636.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.947,False,152,0.753703981922164
monthlyrevenue,increase,10.0,58.8,Bundle additional services at no cost to boost value,Sales,1.098,False,152,0.753703981922164
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,152,0.753703981922164
monthlyrevenue,increase,10.0,58.8,Bundle additional services at no cost to boost value,Sales,1.098,False,185,0.5216457932300216
monthlyminutes,increase,6.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.981,False,185,0.5216457932300216
monthlyrevenue,increase,5.0,58.8,Bundle additional services at no cost to boost value,Sales,1.211,False,212,0.6518930885944767
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,212,0.6518930885944767
currentequipmentdays,decrease,511.0,380.54,Offer early handset upgrade at subsidised price,Sales,0.514,False,212,0.6518930885944767
currentequipmentdays,decrease,1447.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.202,False,219,0.6491566368079194
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,219,0.6491566368079194
monthlyrevenue,increase,25.21,58.8,Bundle additional services at no cost to boost value,Sales,0.756,False,219,0.6491566368079194
currentequipmentdays,decrease,1554.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.624,False,227,0.5806501197720234
monthlyminutes,increase,47.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.904,False,227,0.5806501197720234
monthlyrevenue,increase,30.48,58.8,Bundle additional services at no cost to boost value,Sales,0.637,False,227,0.5806501197720234
currentequipmentdays,decrease,1088.0,380.54,Offer early handset upgrade at subsidised price,Sales,2.787,False,229,0.508860916255584
monthlyminutes,increase,44.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.909,False,229,0.508860916255584
monthlyrevenue,increase,25.04,58.8,Bundle additional services at no cost to boost value,Sales,0.76,False,229,0.508860916255584
currentequipmentdays,decrease,1264.0,380.54,Offer early handset upgrade at subsidised price,Sales,3.481,False,231,0.529991077949621
droppedcalls,decrease,15.7,6.01,Escalate to network ops for coverage improvement,Network Ops,1.071,False,231,0.529991077949621
currentequipmentdays,decrease,1442.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.182,False,245,0.5360473842925884
percchangeminutes,increase,-289.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,1.081,False,245,0.5360473842925884
monthlyrevenue,increase,43.83,58.8,Bundle additional services at no cost to boost value,Sales,0.337,False,245,0.5360473842925884
currentequipmentdays,decrease,876.0,380.54,Offer early handset upgrade at subsidised price,Sales,1.952,False,254,0.6196909471626224
monthlyminutes,increase,196.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.622,False,254,0.6196909471626224
blockedcalls,decrease,9.7,4.09,Upgrade cell capacity in customer usage area,Network Ops,0.513,False,254,0.6196909471626224
currentequipmentdays,decrease,872.0,380.54,Offer early handset upgrade at subsidised price,Sales,1.936,False,282,0.5053555501928119
percchangeminutes,increase,-382.0,-11.5,Trigger win-back campaign if usage declining >20% MoM,Marketing,1.444,False,282,0.5053555501928119
totalrecurringcharge,decrease,60.0,46.82,Apply loyalty discount or match competitor pricing,Sales,0.553,False,282,0.5053555501928119
currentequipmentdays,decrease,1535.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.549,False,289,0.7867122982356829
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,289,0.7867122982356829
totalrecurringcharge,decrease,207.0,46.82,Apply loyalty discount or match competitor pricing,Sales,6.726,False,300,0.5164451552897203
droppedcalls,decrease,65.7,6.01,Escalate to network ops for coverage improvement,Network Ops,6.6,False,300,0.5164451552897203
overageminutes,decrease,668.0,39.91,Proactively offer plan upgrade to eliminate overage,Sales,6.511,False,300,0.5164451552897203
currentequipmentdays,decrease,1004.0,380.54,Offer early handset upgrade at subsidised price,Sales,2.456,False,316,0.6776946597822782
monthlyrevenue,increase,5.04,58.8,Bundle additional services at no cost to boost value,Sales,1.21,False,316,0.6776946597822782
monthlyminutes,increase,0.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.992,False,316,0.6776946597822782
currentequipmentdays,decrease,1592.0,380.54,Offer early handset upgrade at subsidised price,Sales,4.773,False,319,0.5143366979843718
monthlyminutes,increase,77.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.847,False,319,0.5143366979843718
percchangerevenues,increase,-23.5,-1.19,Offer loyalty reward tied to maintaining current spend,Marketing,0.566,False,319,0.5143366979843718
monthlyminutes,increase,26.0,525.17,Offer free minutes bundle to re-engage usage,Marketing,0.943,False,342,0.5821447609701442
