customerid,churn,monthlyrevenue,monthlyminutes,totalrecurringcharge,directorassistedcalls,overageminutes,roamingcalls,percchangeminutes,percchangerevenues,droppedcalls,blockedcalls,unansweredcalls,customercarecalls,threewaycalls,receivedcalls,outboundcalls,inboundcalls,peakcallsinout,offpeakcallsinout,droppedblockedcalls,callforwardingcalls,callwaitingcalls,monthsinservice,uniquesubs,activesubs,handsets,handsetmodels,currentequipmentdays,agehh1,agehh2,childreninhh,handsetrefurbished,handsetwebcapable,truckowner,rvowner,homeownership,buysviamailorder,respondstomailoffers,optoutmailings,nonustravel,ownscomputer,hascreditcard,retentioncalls,retentionoffersaccepted,newcellphoneuser,notnewcellphoneuser,referralsmadebysubscriber,incomegroup,ownsmotorcycle,adjustmentstocreditrating,handsetprice,madecalltoretentionteam,creditrating,churn_proba,is_in_flare
3183090,1,67.74,0.0,85.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,196,53,1.0,1.0,430.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.9213196355550823,False
3108234,1,16.99,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,10,9,1.0,1.0,700.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0.9087705431201315,False
3014306,1,86.97,193.0,17.0,0.0,0.0,70.0,547.0,209.9,1.3,0.3,0.3,0.0,0.0,0.8,0.0,0.0,1.7,0.0,1.7,0.0,0.0,39,1,1,1.0,1.0,1180.0,40.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,0,0,,0,7.0,0.9010706969761435,False
3313730,1,34.99,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11,2,2,4.0,2.0,253.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0,0,5.0,0.8656055152659679,False
3219878,1,9.54,0.0,10.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,1,2.0,1.0,313.0,36.0,50.0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,9,0,0,200.0,1,6.0,0.864664358337585,False
3210738,1,98.75,1524.0,75.0,2.48,64.0,0.0,-316.0,-20.5,51.0,40.7,266.0,0.0,0.0,304.3,47.7,15.3,516.0,389.7,91.7,0.0,22.0,12,9,8,2.0,1.0,212.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,0,,0.8614994527578757,False
3389454,1,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4,2,1.0,1.0,188.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.0,0.8600036676817646,False
3347810,1,90.76,226.0,56.0,0.0,0.0,41.2,-222.0,-52.5,3.7,0.7,9.7,0.7,0.0,39.9,6.3,0.0,43.0,11.0,4.3,0.0,0.0,12,1,1,1.0,1.0,353.0,84.0,62.0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,7,0,0,,1,6.0,0.8564202976709845,False
3318582,1,125.22,331.0,40.0,0.0,0.0,95.2,-331.0,-95.2,1.7,0.3,2.7,0.0,0.0,2.5,3.7,0.0,9.3,1.3,2.0,0.0,0.0,11,2,2,1.0,1.0,318.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6.0,0.8437277753919934,False
3316538,1,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,2,1.0,1.0,320.0,40.0,40.0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,5,1,0,,0,5.0,0.8437226708494212,False
